 
****************************************
Report : cell
Design : mem_system
Version: Q-2019.12-SP3
Date   : Sun Apr 25 16:03:03 2021
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
RD_ff                     dff_254                         11.732500 h, n
U431                      INVX1           gscl45nm        1.407900  
U432                      INVX1           gscl45nm        1.407900  
U433                      INVX1           gscl45nm        1.407900  
U434                      INVX1           gscl45nm        1.407900  
U435                      BUFX2           gscl45nm        2.346500  
U436                      BUFX2           gscl45nm        2.346500  
U437                      INVX1           gscl45nm        1.407900  
U438                      BUFX2           gscl45nm        2.346500  
U439                      INVX1           gscl45nm        1.407900  
U440                      INVX1           gscl45nm        1.407900  
U441                      INVX1           gscl45nm        1.407900  
U442                      INVX1           gscl45nm        1.407900  
U443                      OR2X2           gscl45nm        2.815800  
U444                      BUFX2           gscl45nm        2.346500  
U445                      INVX1           gscl45nm        1.407900  
U446                      NAND3X1         gscl45nm        2.346500  
U447                      INVX1           gscl45nm        1.407900  
U448                      INVX1           gscl45nm        1.407900  
U449                      INVX1           gscl45nm        1.407900  
U450                      INVX1           gscl45nm        1.407900  
U451                      INVX1           gscl45nm        1.407900  
U452                      INVX1           gscl45nm        1.407900  
U453                      INVX1           gscl45nm        1.407900  
U454                      INVX1           gscl45nm        1.407900  
U455                      INVX8           gscl45nm        3.285100  
U456                      BUFX4           gscl45nm        2.815800  
U457                      AND2X2          gscl45nm        2.815800  
U458                      INVX8           gscl45nm        3.285100  
U459                      INVX1           gscl45nm        1.407900  
U460                      AND2X2          gscl45nm        2.815800  
U461                      INVX1           gscl45nm        1.407900  
U462                      AND2X2          gscl45nm        2.815800  
U463                      INVX1           gscl45nm        1.407900  
U464                      AND2X1          gscl45nm        2.346500  
U465                      INVX1           gscl45nm        1.407900  
U466                      AND2X1          gscl45nm        2.346500  
U467                      INVX1           gscl45nm        1.407900  
U468                      AND2X2          gscl45nm        2.815800  
U469                      INVX1           gscl45nm        1.407900  
U470                      AND2X2          gscl45nm        2.815800  
U471                      INVX1           gscl45nm        1.407900  
U472                      INVX1           gscl45nm        1.407900  
U473                      AND2X2          gscl45nm        2.815800  
U474                      INVX1           gscl45nm        1.407900  
U475                      AND2X2          gscl45nm        2.815800  
U476                      INVX1           gscl45nm        1.407900  
U477                      INVX1           gscl45nm        1.407900  
